0:[400.7435976898018, 171.75077998532726, 359.3803675505584, -0.0998027220674868, -0.03186776442398709, -0.9778999670670059]
1:[416.47360753288103, 228.22851408679898, 326.4698052510071, -0.09127595671662636, -0.012428276049274212, -1.7649782406380599]
2:[446.90582060206225, 139.41471504950073, 290.94381655789687, -0.20577396099795653, -0.05647245988559124, -1.785051660493301]
3:[378.2640935381085, 190.6041477031933, 252.90673682298925, 0.15734866947172854, 0.07702340599076996, -1.5007172936793778]
4:[441.1355351011703, 210.41316427096285, 278.4285582561169, -0.2283955069441309, -0.018177680494714687, -1.0915615741349773]
5:[440.45762051072313, 235.32323021754544, 292.59516097547186, -0.11656957808079538, -0.11745408540185176, -1.8163305180927267]
6:[482.44699033541883, 156.8529560436999, 291.44179763535, -0.35538330929593265, -0.24234948890903296, -1.617082806695601]
7:[491.7607067735039, 190.7459194890028, 290.56324505781464, -0.3191792690925914, -0.07052166579626928, -1.1731424087477629]
8:[471.27217069891356, 232.51628757380817, 287.12827466071514, -0.32982528281987167, -0.052713273119725734, -1.0858458486827636]
9:[506.2567498611532, 280.9315896452899, 405.6082384290594, -0.39693721505149165, -0.024835445025507275, -0.9742043753285861]
10:[557.2265696957961, 142.73721467995543, 403.5389178933116, -0.4132136635147625, -0.12723361831104651, -1.247437401692032]
